,Game_result,Citizen,Mafia,Don,Sheriff
0,город,"[(4, 'Кукла'), (5, 'Snow'), (6, 'Шершень'), (8, 'Trevery'), (9, 'Одиннадцатый'), (10, 'Человек')]","[(1, 'Змей'), (3, 'Benjamin')]","(7, 'Дор')","(2, 'D1Zzy')"
1,город,"[(1, 'Кукла'), (5, 'Шершень'), (6, 'D1Zzy'), (7, 'Змей'), (8, 'Дор'), (9, 'Ginger')]","[(4, 'Trevery'), (10, 'Snow')]","(3, 'Человек')","(2, 'Одиннадцатый')"
2,город,"[(2, 'Benjamin'), (3, 'Шершень'), (7, 'Snow'), (8, 'Змей'), (9, 'Гость'), (10, 'D1Zzy')]","[(4, 'Trevery'), (6, 'Arty')]","(5, 'Одиннадцатый')","(1, 'Дор')"
3,мафия,"[(1, 'Ginger'), (2, 'Benjamin'), (3, 'Хохольчик'), (7, 'Персик'), (9, 'Аниморф'), (10, 'Snow')]","[(4, 'Дор'), (8, 'Frank')]","(6, 'Марта')","(5, 'Шершень')"
4,мафия,"[(2, 'Одиннадцатый'), (5, 'Setti'), (7, 'Персик'), (8, 'Benjamin'), (9, 'Frank'), (10, 'Snow')]","[(4, 'Дор'), (6, 'Аниморф')]","(3, 'Хохольчик')","(1, 'Шершень')"
5,город,"[(3, 'Ginger'), (4, 'Mr. Pibb'), (5, 'Snow'), (6, 'Frank'), (8, 'Гармония'), (10, 'Шершень')]","[(1, 'Хохольчик'), (7, 'Персик')]","(2, 'Марта')","(9, 'D.O.N.S.')"
6,город,"[(1, 'Frank'), (2, 'Багряный'), (5, 'Benjamin'), (6, 'Анархия'), (8, 'Шершень'), (10, 'Доктор Ливси')]","[(4, 'Кельтас'), (9, 'Гармония')]","(7, 'Snow')","(3, 'Setti')"
7,город,"[(2, 'Snow'), (4, 'Дор'), (5, 'Ginger'), (8, 'Анархия'), (9, 'Гармония'), (10, 'Багряный')]","[(3, 'Одиннадцатый'), (6, 'Setti')]","(1, 'Шершень')","(7, 'Night')"
8,мафия,"[(1, 'Benjamin'), (4, 'Snow'), (6, 'Анархия'), (7, 'Гармония'), (9, 'Setti'), (10, 'Кельтас')]","[(2, 'Багряный'), (3, 'Lynch')]","(5, 'Frank')","(8, 'Night')"
9,город,"[(1, 'Вольфрам'), (3, 'Flash'), (4, 'Mr. Pibb'), (7, 'Человек'), (8, 'Анархия'), (9, 'Arty')]","[(2, 'Дор'), (10, 'Lynch')]","(6, 'Ginger')","(5, 'Benjamin')"
