,Name,Bonus,Games,Wins,MVP,First_blood,Last_word_3,Last_word_2,Citizen_games,Citizen_wins,Mafia_games,Mafia_wins,Sheriff_games,Sheriff_wins,Don_games,Don_wins
0,Гость,0.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Анархия,15.7,145.0,79.0,4.0,14.0,0.0,5.0,79.0,35.0,35.0,26.0,18.0,9.0,13.0,9.0
2,Полицейский,8.399999999999999,138.0,74.0,3.0,20.0,0.0,6.0,83.0,37.0,18.0,13.0,18.0,12.0,19.0,12.0
3,Шершень,15.2,143.0,81.0,0.0,29.0,1.0,14.0,84.0,46.0,28.0,18.0,21.0,9.0,10.0,8.0
4,Benjamin,11.499999999999998,101.0,43.0,0.0,12.0,1.0,2.0,61.0,22.0,19.0,12.0,13.0,5.0,8.0,4.0
5,Snow,13.4,142.0,64.0,0.0,35.0,0.0,7.0,93.0,41.0,18.0,10.0,14.0,4.0,17.0,9.0
6,Гармония,13.899999999999999,148.0,73.0,1.0,21.0,0.0,8.0,101.0,52.0,19.0,9.0,19.0,5.0,9.0,7.0
7,Малыш,7.0,103.0,54.0,2.0,10.0,0.0,2.0,61.0,28.0,18.0,10.0,10.0,6.0,14.0,10.0
8,Персик,8.7,77.0,39.0,2.0,13.0,1.0,1.0,54.0,26.0,13.0,8.0,5.0,1.0,5.0,4.0
9,Frank,9.0,91.0,45.0,0.0,8.0,1.0,2.0,53.0,24.0,24.0,12.0,4.0,3.0,10.0,6.0
10,Night,3.6,86.0,31.0,0.0,9.0,0.0,2.0,54.0,15.0,14.0,6.0,10.0,4.0,8.0,6.0
11,Ginger,5.5,84.0,50.0,1.0,9.0,0.0,4.0,40.0,18.0,22.0,18.0,14.0,9.0,8.0,5.0
12,Марта,6.4,123.0,56.0,1.0,13.0,1.0,0.0,64.0,23.0,28.0,16.0,13.0,6.0,18.0,11.0
13,Дор,10.8,125.0,60.0,2.0,7.0,0.0,3.0,63.0,25.0,28.0,18.0,20.0,7.0,14.0,10.0
14,Хохольчик,6.1,104.0,44.0,0.0,12.0,0.0,2.0,61.0,24.0,22.0,8.0,10.0,4.0,11.0,8.0
15,Trevery,5.199999999999999,54.0,23.0,1.0,6.0,0.0,3.0,32.0,14.0,12.0,6.0,7.0,2.0,3.0,1.0
16,Setti,5.5,97.0,51.0,1.0,8.0,0.0,0.0,61.0,29.0,16.0,13.0,12.0,4.0,8.0,5.0
17,Lynch,7.4,138.0,56.0,4.0,12.0,1.0,3.0,80.0,24.0,32.0,19.0,10.0,4.0,16.0,9.0
18,Лача,10.9,112.0,61.0,2.0,12.0,1.0,6.0,68.0,33.0,24.0,15.0,10.0,7.0,10.0,6.0
19,Сарказм,6.9,51.0,26.0,5.0,10.0,1.0,5.0,28.0,15.0,11.0,3.0,8.0,4.0,4.0,4.0
20,Абрам,8.299999999999999,104.0,46.0,1.0,9.0,0.0,5.0,54.0,25.0,27.0,10.0,10.0,3.0,13.0,8.0
21,Ятна,2.8,48.0,23.0,1.0,4.0,0.0,2.0,30.0,17.0,8.0,2.0,7.0,3.0,3.0,1.0
22,Одиннадцатый,5.3,121.0,57.0,0.0,11.0,0.0,3.0,70.0,29.0,27.0,16.0,13.0,6.0,11.0,6.0
23,Flash,6.199999999999999,79.0,39.0,0.0,14.0,1.0,3.0,46.0,24.0,20.0,9.0,9.0,3.0,4.0,3.0
24,Mr. Pibb,5.0,91.0,37.0,1.0,5.0,0.0,3.0,58.0,19.0,15.0,9.0,8.0,4.0,10.0,5.0
25,Аниморф,0.5,19.0,9.0,0.0,2.0,0.0,1.0,13.0,4.0,3.0,3.0,0.0,0.0,3.0,2.0
26,Коннор,5.0,90.0,45.0,2.0,7.0,0.0,2.0,51.0,21.0,22.0,13.0,10.0,6.0,7.0,5.0
27,Кельтас,5.300000000000001,51.0,21.0,1.0,5.0,0.0,1.0,32.0,12.0,4.0,1.0,8.0,4.0,7.0,4.0
28,Змей,8.1,191.0,96.0,0.0,21.0,2.0,4.0,114.0,53.0,42.0,29.0,22.0,7.0,13.0,7.0
29,Багряный,1.7000000000000002,22.0,7.0,0.0,1.0,0.0,0.0,14.0,4.0,5.0,2.0,1.0,0.0,2.0,1.0
30,Вольфрам,6.9,92.0,43.0,0.0,15.0,0.0,7.0,54.0,23.0,21.0,13.0,7.0,4.0,10.0,3.0
31,Fake,10.1,114.0,54.0,0.0,21.0,1.0,7.0,67.0,24.0,22.0,17.0,13.0,5.0,12.0,8.0
32,D1Zzy,1.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
33,Файна,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
34,Доктор Ливси,0.0,7.0,6.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0
35,Адик,11.1,212.0,102.0,0.0,16.0,0.0,3.0,136.0,51.0,45.0,30.0,12.0,6.0,19.0,15.0
36,Джипси,0.6,67.0,30.0,0.0,1.0,0.0,0.0,43.0,21.0,6.0,5.0,7.0,2.0,11.0,2.0
37,Амахонда,5.0,52.0,31.0,1.0,4.0,0.0,3.0,33.0,19.0,12.0,7.0,4.0,3.0,3.0,2.0
