,Game_result,Citizen,Mafia,Don,Sheriff
0,мафия,"['Ginger', 'Benjamin', 'Хохольчик', 'Персик', 'Аниморф', 'Snow']","['Дор', 'Frank']",Марта,Шершень
1,мафия,"['Одиннадцатый', 'Setti', 'Персик', 'Benjamin', 'Frank', 'Snow']","['Дор', 'Аниморф']",Хохольчик,Шершень
2,город,"['Ginger', 'Mr. Pibb', 'Snow', 'Frank', 'Гармония', 'Шершень']","['Хохольчик', 'Персик']",Марта,D.O.N.S.
3,город,"['Frank', 'Багряный', 'Benjamin', 'Анархия', 'Шершень', 'Доктор Ливси']","['Кельтас', 'Гармония']",Snow,Setti
4,город,"['Snow', 'Дор', 'Ginger', 'Анархия', 'Гармония', 'Багряный']","['Одиннадцатый', 'Setti']",Шершень,Night
5,мафия,"['Benjamin', 'Snow', 'Анархия', 'Гармония', 'Setti', 'Кельтас']","['Багряный', 'Lynch']",Frank,Night
6,город,"['Вольфрам', 'Flash', 'Mr. Pibb', 'Человек', 'Анархия', 'Arty']","['Дор', 'Lynch']",Ginger,Benjamin
7,город,"['Анархия', 'Гость', 'Абрам', 'Гармония', 'Benjamin', 'Кельтас']","['Дор', 'Одиннадцатый']",Ятна,Setti
8,город,"['Марта', 'Ginger', 'Snow', 'Гармония', 'Дор', 'Гость']","['Ятна', 'Абрам']",Анархия,Benjamin
9,мафия,"['Snow', 'Анархия', 'Ятна', 'Гармония', 'Lynch', '']","['Ginger', 'Хохольчик']",Абрам,Setti
10,мафия,"['Коннор', 'Scorp', 'Джина', 'Fake', 'Arty', 'Хохольчик']","['Кукла', 'Змей']",Frank,Марта
11,город,"['Хохольчик', 'Mr. Pibb', 'Frank', 'Змей', 'Персик', 'Джина']","['Коннор', 'Ботаник']",Fake,Марта
12,мафия,"['Змей', 'Марта', 'Хохольчик', 'Джина', 'Frank', 'Персик']","['Fake', 'Ботаник']",Snow,Коннор
13,мафия,"['Коннор', 'Одиннадцатый', 'Гармония', 'Змей', 'Шершень', 'Snow']","['Анархия', 'Setti']",Гость,Benjamin
14,город,"['Snow', 'Гармония', 'Setti', 'Ginger', 'Benjamin', 'Анархия']","['Гость', 'Дор']",Одиннадцатый,Шершень
15,город,"['Гармония', 'Mr. Pibb', 'Анархия', 'Snow', 'Flash', 'Коннор']","['Кира', 'Хохольчик']",Lynch,Шершень
16,мафия,"['Багряный', 'Кира', 'Lynch', 'Flash', 'Snow', 'Шершень']","['Коннор', 'Анархия']",Хохольчик,Гармония
17,мафия,"['Хохольчик', 'Шершень', 'Гость', 'Mr. Pibb', 'Кира', 'Гармония']","['Flash', 'Дор']",Анархия,Benjamin
