,Name,Bonus,Games,Wins,MVP,First_blood,Last_word_3,Last_word_2,Citizen_wins,Citizen_games,Mafia_wins,Mafia_games,Sheriff_wins,Sheriff_games,Don_wins,Don_games
0,Анархия,15.2,143.0,77.0,4.0,14.0,0.0,5.0,79.0,35.0,33.0,24.0,18.0,9.0,13.0,9.0
1,Полицейский,8.399999999999999,138.0,74.0,3.0,20.0,0.0,6.0,83.0,37.0,18.0,13.0,18.0,12.0,19.0,12.0
2,Benjamin,10.999999999999998,97.0,41.0,0.0,12.0,1.0,2.0,59.0,20.0,17.0,12.0,13.0,5.0,8.0,4.0
3,Шершень,14.099999999999998,134.0,74.0,0.0,26.0,1.0,13.0,76.0,40.0,28.0,18.0,20.0,8.0,10.0,8.0
4,Snow,12.2,135.0,58.0,0.0,34.0,0.0,6.0,89.0,37.0,16.0,9.0,13.0,3.0,17.0,9.0
5,Гармония,13.599999999999998,140.0,68.0,1.0,19.0,0.0,7.0,96.0,48.0,18.0,9.0,18.0,5.0,8.0,6.0
6,Малыш,7.0,103.0,54.0,2.0,10.0,0.0,2.0,61.0,28.0,18.0,10.0,10.0,6.0,14.0,10.0
7,Персик,8.7,77.0,39.0,2.0,13.0,1.0,1.0,54.0,26.0,13.0,8.0,5.0,1.0,5.0,4.0
8,Frank,9.0,91.0,45.0,0.0,8.0,1.0,2.0,53.0,24.0,24.0,12.0,4.0,3.0,10.0,6.0
9,Night,3.6,86.0,31.0,0.0,9.0,0.0,2.0,54.0,15.0,14.0,6.0,10.0,4.0,8.0,6.0
10,Ginger,5.5,80.0,49.0,1.0,8.0,0.0,3.0,37.0,17.0,21.0,18.0,14.0,9.0,8.0,5.0
11,Марта,6.4,123.0,56.0,1.0,13.0,1.0,0.0,64.0,23.0,28.0,16.0,13.0,6.0,18.0,11.0
12,Хохольчик,5.8,99.0,39.0,0.0,11.0,0.0,2.0,57.0,20.0,22.0,8.0,9.0,3.0,11.0,8.0
13,Trevery,5.199999999999999,50.0,22.0,1.0,6.0,0.0,3.0,31.0,13.0,9.0,6.0,7.0,2.0,3.0,1.0
14,Setti,5.5,92.0,46.0,1.0,8.0,0.0,0.0,57.0,25.0,16.0,13.0,11.0,3.0,8.0,5.0
15,Lynch,7.4,138.0,56.0,4.0,12.0,1.0,3.0,80.0,24.0,32.0,19.0,10.0,4.0,16.0,9.0
16,Лача,10.5,104.0,56.0,2.0,11.0,1.0,6.0,64.0,29.0,22.0,15.0,9.0,6.0,9.0,6.0
17,Сарказм,6.5,47.0,23.0,5.0,9.0,1.0,4.0,26.0,13.0,10.0,3.0,7.0,3.0,4.0,4.0
18,Абрам,8.299999999999999,104.0,46.0,1.0,9.0,0.0,5.0,54.0,25.0,27.0,10.0,10.0,3.0,13.0,8.0
19,Дор,10.3,120.0,56.0,2.0,7.0,0.0,3.0,61.0,23.0,27.0,17.0,19.0,6.0,13.0,10.0
20,Ятна,2.8,44.0,22.0,1.0,4.0,0.0,2.0,29.0,16.0,5.0,2.0,7.0,3.0,3.0,1.0
21,Одиннадцатый,5.3,116.0,54.0,0.0,11.0,0.0,3.0,67.0,27.0,27.0,16.0,12.0,5.0,10.0,6.0
22,Flash,6.199999999999999,79.0,39.0,0.0,14.0,1.0,3.0,46.0,24.0,20.0,9.0,9.0,3.0,4.0,3.0
23,Mr. Pibb,5.0,88.0,37.0,1.0,5.0,0.0,3.0,56.0,19.0,15.0,9.0,8.0,4.0,9.0,5.0
24,Аниморф,0.5,19.0,9.0,0.0,2.0,0.0,1.0,13.0,4.0,3.0,3.0,0.0,0.0,3.0,2.0
25,Коннор,5.0,90.0,45.0,2.0,7.0,0.0,2.0,51.0,21.0,22.0,13.0,10.0,6.0,7.0,5.0
26,Кельтас,5.300000000000001,50.0,20.0,1.0,5.0,0.0,1.0,32.0,12.0,4.0,1.0,7.0,3.0,7.0,4.0
27,Багряный,1.7000000000000002,22.0,7.0,0.0,1.0,0.0,0.0,14.0,4.0,5.0,2.0,1.0,0.0,2.0,1.0
28,Вольфрам,6.9,92.0,43.0,0.0,15.0,0.0,7.0,54.0,23.0,21.0,13.0,7.0,4.0,10.0,3.0
29,Fake,10.1,112.0,52.0,0.0,21.0,1.0,7.0,66.0,23.0,21.0,16.0,13.0,5.0,12.0,8.0
30,Гость,0.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Файна,0.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
32,Человек,5.6,108.0,49.0,0.0,5.0,0.0,0.0,63.0,24.0,25.0,18.0,8.0,2.0,12.0,5.0
33,Доктор Ливси,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
34,Адик,11.1,202.0,97.0,0.0,15.0,0.0,2.0,129.0,47.0,43.0,30.0,12.0,6.0,18.0,14.0
35,Джипси,0.6,63.0,27.0,0.0,1.0,0.0,0.0,40.0,18.0,6.0,5.0,7.0,2.0,10.0,2.0
36,Амахонда,5.0,52.0,31.0,1.0,4.0,0.0,3.0,33.0,19.0,12.0,7.0,4.0,3.0,3.0,2.0
37,D.O.N.S.,2.2,60.0,27.0,1.0,9.0,0.0,2.0,34.0,13.0,10.0,8.0,7.0,2.0,9.0,4.0
38,Ботаник,0.6,26.0,12.0,0.0,4.0,1.0,0.0,9.0,2.0,9.0,7.0,5.0,1.0,3.0,2.0
39,Lawliet,1.7,16.0,10.0,1.0,2.0,0.0,0.0,9.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0
40,Arty,4.5,62.0,31.0,0.0,6.0,0.0,2.0,37.0,15.0,16.0,9.0,5.0,3.0,4.0,4.0
41,Ice,7.0,138.0,66.0,1.0,15.0,1.0,6.0,86.0,35.0,29.0,19.0,12.0,5.0,11.0,7.0
42,Lucky,4.8,69.0,32.0,12.0,4.0,0.0,1.0,37.0,13.0,15.0,9.0,10.0,5.0,7.0,5.0
43,Чикаго,2.0,15.0,5.0,1.0,0.0,0.0,0.0,11.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0
44,Коломбо,3.4000000000000004,46.0,18.0,0.0,0.0,0.0,0.0,30.0,10.0,6.0,4.0,8.0,3.0,2.0,1.0
45,Кукла,13.6,212.0,96.0,0.0,27.0,1.0,10.0,128.0,47.0,41.0,26.0,17.0,3.0,26.0,20.0
46,Сакура,-1.35,50.0,27.0,0.0,4.0,0.0,2.0,30.0,12.0,8.0,6.0,5.0,3.0,7.0,6.0
47,Змей,7.800000000000001,182.0,91.0,0.0,19.0,2.0,3.0,110.0,49.0,41.0,29.0,19.0,6.0,12.0,7.0
48,Джина,1.2,29.0,16.0,0.0,1.0,0.0,0.0,19.0,10.0,9.0,6.0,1.0,0.0,0.0,0.0
49,Борщ,1.9,48.0,21.0,0.0,6.0,0.0,2.0,33.0,14.0,7.0,5.0,6.0,1.0,2.0,1.0
50,Scorp,1.6,51.0,26.0,0.0,4.0,0.0,1.0,31.0,14.0,9.0,6.0,5.0,0.0,6.0,6.0
51,Кира,2.15,72.0,29.0,0.0,5.0,0.0,1.0,47.0,16.0,12.0,5.0,6.0,2.0,7.0,6.0
52,Воля,0.0,7.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
53,,0.0,7.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
54,Как так,0.5,63.0,26.0,8.0,4.0,0.0,1.0,41.0,15.0,10.0,6.0,7.0,1.0,5.0,4.0
55,Стимул,1.4,147.0,72.0,0.0,7.0,0.0,1.0,95.0,39.0,23.0,18.0,9.0,3.0,20.0,12.0
56,Маркиза,4.3,101.0,48.0,1.0,15.0,1.0,8.0,58.0,24.0,19.0,14.0,13.0,5.0,11.0,5.0
57,Лайм,3.4000000000000004,125.0,54.0,0.0,11.0,0.0,3.0,76.0,25.0,18.0,12.0,12.0,3.0,19.0,14.0
58,GoN,1.6,135.0,58.0,0.0,7.0,0.0,1.0,79.0,31.0,27.0,16.0,13.0,2.0,16.0,9.0
59,НикитыЧ,5.199999999999999,120.0,49.0,0.0,6.0,0.0,1.0,70.0,19.0,26.0,14.0,11.0,6.0,13.0,10.0
60,Шпилька,3.5,102.0,39.0,0.0,5.0,0.0,0.0,51.0,16.0,20.0,11.0,14.0,3.0,17.0,9.0
61,Мортал,1.7999999999999998,124.0,49.0,0.0,6.0,0.0,0.0,86.0,28.0,21.0,10.0,11.0,6.0,6.0,5.0
62,Игрок,0.4,79.0,31.0,0.0,6.0,0.0,4.0,47.0,16.0,16.0,8.0,8.0,2.0,8.0,5.0
63,Сталкер,0.1,89.0,36.0,0.0,5.0,0.0,2.0,54.0,16.0,18.0,14.0,11.0,5.0,6.0,1.0
64,Ириска,2.3,105.0,48.0,0.0,8.0,0.0,0.0,62.0,20.0,14.0,12.0,18.0,9.0,11.0,7.0
65,Каменских,3.9,59.0,28.0,1.0,7.0,0.0,3.0,37.0,17.0,13.0,7.0,4.0,1.0,5.0,3.0
66,Люк,1.1,45.0,15.0,0.0,3.0,1.0,0.0,31.0,7.0,7.0,4.0,6.0,3.0,1.0,1.0
67,Мадемуазель,1.5,49.0,22.0,0.0,6.0,1.0,2.0,31.0,9.0,9.0,6.0,3.0,1.0,6.0,6.0
68,vipzonet,0.5,81.0,31.0,0.0,2.0,0.0,0.0,46.0,16.0,16.0,9.0,10.0,2.0,9.0,4.0
69,Рати,0.0,44.0,18.0,0.0,0.0,0.0,0.0,23.0,8.0,8.0,4.0,5.0,4.0,8.0,2.0
70,Дин,9.0,117.0,59.0,0.0,14.0,1.0,3.0,67.0,30.0,33.0,23.0,9.0,1.0,8.0,5.0
71,Ashley,0.8,80.0,35.0,0.0,3.0,0.0,1.0,45.0,18.0,17.0,7.0,5.0,1.0,13.0,9.0
72,Sunset,0.8999999999999999,33.0,20.0,0.0,0.0,0.0,0.0,15.0,6.0,8.0,7.0,2.0,1.0,8.0,6.0
73,Lu绿,1.2,63.0,33.0,0.0,3.0,0.0,0.0,36.0,17.0,11.0,7.0,7.0,3.0,9.0,6.0
74,Sova,0.0,34.0,16.0,0.0,0.0,0.0,0.0,18.0,7.0,8.0,7.0,4.0,0.0,4.0,2.0
75,Cardinal,1.0,36.0,16.0,0.0,4.0,0.0,2.0,24.0,9.0,7.0,4.0,2.0,0.0,3.0,3.0
76,Tamerlan,0.7,46.0,15.0,0.0,1.0,0.0,1.0,30.0,10.0,6.0,2.0,5.0,1.0,5.0,2.0
77,Sportsman,1.4,34.0,19.0,0.0,2.0,0.0,1.0,22.0,9.0,8.0,7.0,2.0,1.0,2.0,2.0
78,Солтис,0.1,11.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0
79,Ася,1.0,42.0,16.0,0.0,0.0,0.0,0.0,24.0,6.0,10.0,5.0,1.0,0.0,7.0,5.0
80,Доктор,0.1,37.0,8.0,0.0,1.0,0.0,0.0,24.0,4.0,8.0,3.0,2.0,0.0,3.0,1.0
81,Stay,0.0,15.0,6.0,0.0,2.0,0.0,1.0,8.0,4.0,3.0,2.0,3.0,0.0,1.0,0.0
82,Ника,0.0,13.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0
83,Кактус,3.9,72.0,36.0,4.0,5.0,0.0,0.0,45.0,22.0,12.0,5.0,12.0,9.0,3.0,0.0
84,Tartaletka,0.2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
85,Sher,1.4000000000000001,52.0,25.0,0.0,5.0,0.0,2.0,28.0,11.0,9.0,6.0,9.0,4.0,6.0,4.0
86,Spectre,1.6,16.0,8.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,2.0,1.0,0.0,2.0,2.0
87,Самец,0.4,7.0,5.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0
88,Step,0.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
89,Rize,0.9,8.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0
90,Marsea,0.4,18.0,7.0,0.0,0.0,0.0,0.0,11.0,4.0,5.0,3.0,1.0,0.0,1.0,0.0
91,Хьюстон,0.0,9.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0
92,Заноза,0.4,11.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0
93,Дядя,0.0,7.0,3.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
94,Плюшка,0.3,7.0,4.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
95,Энай,0.0,7.0,4.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Dan Dan,0.0,32.0,15.0,0.0,2.0,0.0,0.0,22.0,8.0,6.0,4.0,1.0,1.0,3.0,2.0
97,Turnik,0.4,18.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,2.0,1.0,0.0,7.0,4.0
98,Принцесса,0.0,18.0,6.0,0.0,1.0,0.0,0.0,11.0,2.0,6.0,4.0,1.0,0.0,0.0,0.0
99,Пряник,0.5,64.0,31.0,13.0,8.0,0.0,1.0,41.0,17.0,14.0,9.0,4.0,2.0,5.0,3.0
100,Forsir,0.0,15.0,4.0,0.0,1.0,0.0,0.0,9.0,3.0,1.0,1.0,2.0,0.0,3.0,0.0
101,Дон Ган,1.3,31.0,15.0,0.0,4.0,0.0,0.0,20.0,7.0,4.0,3.0,5.0,4.0,2.0,1.0
102,Lightman,0.4,9.0,3.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
103,molecula,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0
104,Барон,0.2,10.0,5.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0
105,По,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
106,MiG15-bis,0.25,5.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
107,Page,0.4,9.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0
108,Фин,0.0,6.0,4.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
109,Amber,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
110,Абдурахман,0.4,39.0,13.0,0.0,3.0,0.0,0.0,23.0,5.0,7.0,3.0,5.0,3.0,4.0,2.0
111,Ace,0.0,15.0,6.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,2.0,3.0,0.0,2.0,1.0
112,Конфет,0.3,17.0,7.0,0.0,1.0,0.0,0.0,7.0,2.0,6.0,3.0,1.0,0.0,3.0,2.0
113,Айка,0.5,16.0,5.0,0.0,2.0,0.0,0.0,10.0,2.0,5.0,2.0,0.0,0.0,1.0,1.0
114,Бестолочь,0.0,19.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0
115,Gopher,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
116,Sona,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Люботин,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
118,Феечка,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
119,Санчес,0.25,21.0,8.0,0.0,1.0,0.0,1.0,12.0,3.0,1.0,1.0,3.0,2.0,5.0,2.0
120,Альгиз,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
121,Hyper,0.6,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
122,Сокол,0.5,5.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
123,Sonechko,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
124,Grey,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
125,Mio,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
